price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,paint_color
8700,2009.0,honda,odyssey,excellent,10 cylinders,gas,104559.0,other,4wd,van,red
5999,2011.0,chevrolet,cruze eco w/1xf,excellent,4 cylinders,gas,75000.0,manual,missing,sedan,missing
20995,2019.0,hyundai,santa fe,missing,missing,gas,20205.0,automatic,fwd,wagon,missing
500,2013.0,honda,accord,missing,missing,gas,123456.0,automatic,missing,missing,missing
19520,2015.0,mercedes-benz,c-class,missing,4 cylinders,gas,62188.0,automatic,4wd,sedan,black
3995,2005.0,chrysler,pt cruiser,like new,4 cylinders,gas,81214.0,automatic,fwd,hatchback,brown
21975,2019.0,jeep,compass,missing,4 cylinders,gas,24950.0,automatic,4wd,SUV,red
23590,2020.0,acura,ilx sedan 4d,good,missing,other,2630.0,other,missing,sedan,black
21995,2017.0,lincoln,mkc reserve,like new,4 cylinders,gas,51756.0,automatic,4wd,SUV,missing
14800,2011.0,jeep,wrangler unlimited,missing,missing,gas,171117.0,automatic,missing,missing,missing
0,2019.0,hyundai,santa fe,missing,missing,gas,39751.0,automatic,missing,SUV,white
38988,2018.0,ram,1500,missing,missing,gas,17164.0,automatic,4wd,missing,silver
28590,2010.0,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,16903.0,other,rwd,coupe,yellow
25000,1946.0,chevrolet,missing,excellent,8 cylinders,gas,75000.0,automatic,rwd,pickup,grey
5500,2007.0,chevrolet,impala,excellent,6 cylinders,gas,155157.0,automatic,fwd,sedan,missing
21591,2016.0,audi,a3 e-tron,missing,missing,hybrid,38561.0,automatic,fwd,hatchback,missing
5995,2012.0,chevrolet,equinox,good,6 cylinders,gas,170000.0,automatic,4wd,SUV,grey
2500,1994.0,chevrolet,suburban k1500 silverado,good,8 cylinders,gas,390000.0,automatic,4wd,SUV,blue
22499,2016.0,lexus,is,good,6 cylinders,gas,71626.0,automatic,4wd,sedan,grey
5999,2001.0,ram,pickup 2500 sltquad,excellent,10 cylinders,gas,154128.0,automatic,missing,truck,missing
27990,2017.0,infiniti,qx60 3.5 sport utility,good,6 cylinders,other,26355.0,other,fwd,other,blue
15990,2010.0,ford,ranger super cab xlt pickup,good,6 cylinders,gas,48055.0,other,missing,pickup,silver
5990,1997.0,toyota,rav4,missing,missing,gas,212061.0,manual,4wd,SUV,blue
34900,2017.0,audi,q7 3.0 premium plus,excellent,6 cylinders,gas,62450.0,automatic,4wd,SUV,blue
15995,2013.0,nissan,pathfinder sv 4x4,excellent,6 cylinders,gas,63000.0,automatic,4wd,SUV,grey
34990,2020.0,lexus,nx 300 f sport suv 4d,good,missing,other,13111.0,other,fwd,hatchback,silver
19288,2016.0,chevrolet,traverse lt,good,6 cylinders,gas,94276.0,automatic,fwd,other,white
195,2008.0,honda,cr-v ex-l,missing,4 cylinders,gas,84027.0,automatic,4wd,SUV,missing
10795,2012.0,gmc,terrain sle-1,missing,missing,gas,76368.0,automatic,missing,missing,missing
26999,2015.0,ford,f150 platinum,missing,missing,gas,157356.0,automatic,missing,other,white
19850,2012.0,chevrolet,suburban,missing,missing,gas,71379.0,automatic,rwd,SUV,white
27585,2020.0,ford,ecosport,missing,4 cylinders,gas,5.0,automatic,4wd,SUV,red
20995,2012.0,toyota,tundra,excellent,missing,gas,137750.0,automatic,missing,missing,missing
4000,2013.0,bmw,x5,excellent,missing,gas,110757.0,automatic,4wd,SUV,silver
7740,2012.0,chevrolet,cruze,missing,4 cylinders,gas,98043.0,automatic,fwd,sedan,white
27990,2012.0,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,68696.0,other,4wd,pickup,black
18990,2015.0,volvo,s60 t5 premier sedan 4d,good,missing,other,37238.0,other,missing,sedan,silver
3900,2011.0,hyundai,sonata,good,missing,gas,155000.0,manual,missing,missing,missing
9999,2015.0,mini,hardtop 4 door cooper,missing,3 cylinders,gas,111318.0,automatic,fwd,hatchback,white
2600,1998.0,honda,accord,missing,4 cylinders,gas,220000.0,automatic,fwd,missing,black
45995,2015.0,ford,f-250 super duty xlt,missing,8 cylinders,other,107971.0,automatic,4wd,pickup,white
0,2020.0,missing,Pitts LP40-4L,missing,missing,missing,missing,missing,missing,missing,missing
5900,2003.0,chevrolet,trailblazer,good,6 cylinders,gas,82000.0,automatic,4wd,SUV,grey
18700,2017.0,dodge,journey crossroad,like new,6 cylinders,gas,33920.0,automatic,fwd,SUV,custom
21990,2020.0,volkswagen,golf 1.4t tsi,good,missing,gas,2515.0,other,fwd,sedan,black
20999,2018.0,nissan,frontier,missing,4 cylinders,gas,9135.0,automatic,rwd,pickup,white
7995,2018.0,mitsubishi,mirage,excellent,3 cylinders,gas,15051.0,manual,rwd,hatchback,white
53877,missing,missing,ierra 1500,missing,8 cylinders,missing,14396.0,automatic,4wd,pickup,blue
0,2016.0,hyundai,sonata,missing,missing,gas,89018.0,automatic,missing,sedan,blue
34990,2014.0,toyota,tacoma double cab pickup,good,6 cylinders,gas,1112.0,other,4wd,pickup,white
36990,2020.0,jeep,grand cherokee limited x,good,missing,other,12324.0,other,missing,SUV,black
11988,2008.0,ford,f350,excellent,8 cylinders,gas,176398.0,automatic,rwd,truck,white
8999,2011.0,toyota,prius three,missing,4 cylinders,gas,111069.0,automatic,fwd,hatchback,black
11000,1979.0,missing,El Camino,good,missing,gas,52284.0,automatic,fwd,pickup,missing
1200,1999.0,toyota,corolla,good,missing,gas,118000.0,automatic,missing,missing,missing
27590,2018.0,audi,a6 2.0t premium plus sedan,good,missing,gas,46139.0,automatic,missing,sedan,blue
8995,2001.0,chevrolet,silverado 2500hd 8.1 liter,good,8 cylinders,gas,224005.0,automatic,4wd,truck,silver
8949,2014.0,hyundai,elantra,missing,4 cylinders,gas,101290.0,automatic,fwd,sedan,grey
0,2015.0,dodge,i,missing,missing,diesel,0.0,other,missing,other,white
24900,2013.0,ford,f-150,good,6 cylinders,gas,56864.0,automatic,4wd,truck,grey
8200,2006.0,toyota,tacoma,good,4 cylinders,gas,206000.0,automatic,rwd,pickup,black
0,2014.0,lexus,es 350,good,missing,other,44829.0,automatic,fwd,sedan,missing
0,2016.0,jeep,wrangler,excellent,6 cylinders,gas,13466.0,automatic,4wd,SUV,red
26995,2016.0,chevrolet,silverado 1500,missing,6 cylinders,gas,68215.0,automatic,4wd,truck,silver
122420,2017.0,audi,missing,missing,10 cylinders,other,16613.0,automatic,fwd,other,missing
36995,2006.0,missing,Bentley Continental Flying,excellent,12 cylinders,gas,50361.0,automatic,4wd,sedan,missing
23800,2018.0,mitsubishi,eclipse cross,missing,missing,gas,16266.0,automatic,4wd,missing,missing
0,2019.0,volkswagen,jetta r-line fwd gas,missing,missing,gas,19325.0,automatic,fwd,sedan,black
19256,2019.0,nissan,rogue s,missing,missing,gas,35071.0,automatic,missing,missing,missing
6300,2006.0,infiniti,m35x,excellent,missing,gas,127000.0,automatic,4wd,sedan,white
13000,1995.0,ford,f800,good,8 cylinders,diesel,200000.0,automatic,fwd,other,white
9705,2015.0,nissan,altima,missing,4 cylinders,gas,107494.0,automatic,fwd,sedan,missing
24990,2013.0,bmw,1 series 135i convertible 2d,good,missing,gas,27287.0,other,rwd,other,black
2000,1996.0,dodge,caravan,good,6 cylinders,gas,200000.0,automatic,fwd,mini-van,white
8990,2010.0,kia,sedona ex,excellent,6 cylinders,gas,92645.0,automatic,fwd,mini-van,grey
19990,2013.0,volkswagen,eos sport convertible,good,missing,gas,24294.0,automatic,fwd,convertible,blue
19500,2014.0,ford,f-150,good,8 cylinders,gas,110102.0,automatic,4wd,truck,white
19995,2017.0,jeep,cherokee latitude 4x4,missing,4 cylinders,gas,28980.0,automatic,4wd,missing,missing
22995,2016.0,jeep,grand cherokee,missing,missing,gas,76000.0,automatic,missing,missing,missing
0,2020.0,nissan,versa s sedan 4d,like new,4 cylinders,gas,34783.0,automatic,fwd,sedan,silver
7999,2014.0,missing,mazda5,excellent,4 cylinders,gas,113000.0,automatic,fwd,van,blue
14900,2006.0,ram,2500,good,6 cylinders,diesel,278000.0,automatic,fwd,truck,blue
32000,2015.0,ram,1500,missing,6 cylinders,diesel,72982.0,automatic,4wd,truck,missing
0,2016.0,honda,odyssey,missing,missing,missing,missing,missing,missing,missing,missing
20000,1979.0,chevrolet,camaro,missing,missing,other,7100.0,other,missing,missing,missing
17590,2015.0,volvo,s60 t5 premier sedan 4d,good,missing,gas,63512.0,automatic,missing,sedan,blue
22995,2017.0,ford,explorer xlt 4wd,missing,missing,gas,99653.0,automatic,4wd,SUV,missing
3000,1941.0,buick,sedanette,fair,8 cylinders,gas,70000.0,manual,rwd,coupe,green
24944,2013.0,chevrolet,silverado,missing,missing,other,63005.0,automatic,4wd,pickup,missing
24990,2018.0,kia,sorento ex sport utility 4d,good,missing,gas,26149.0,other,fwd,other,white
2695,2002.0,chevrolet,cavalier,missing,missing,gas,123566.0,automatic,missing,coupe,blue
12999,2009.0,lexus,rx350 awd gas suv auto,missing,missing,gas,114590.0,automatic,4wd,SUV,black
23395,2020.0,nissan,rogue,excellent,4 cylinders,gas,27817.0,automatic,4wd,SUV,black
38990,2020.0,audi,q5 45 tfsi premium plus,good,missing,gas,19067.0,other,missing,SUV,white
16500,2015.0,ford,explorer,good,6 cylinders,gas,112000.0,automatic,4wd,SUV,grey
19990,2016.0,mazda,cx-3 touring sport utility,good,missing,gas,11287.0,other,fwd,hatchback,blue
14549,2013.0,bmw,328i,excellent,4 cylinders,gas,99200.0,automatic,rwd,sedan,red
38999,2018.0,ram,1500 outdoorsman 4x4,missing,missing,gas,8346.0,automatic,4wd,truck,silver
12500,2008.0,gmc,yukon xl,excellent,8 cylinders,gas,177326.0,automatic,rwd,SUV,black
12900,2011.0,honda,odyssey,missing,6 cylinders,gas,99217.0,automatic,fwd,other,silver
1990,1990.0,toyota,4runner 4wd,good,6 cylinders,gas,386000.0,manual,4wd,SUV,black
67060,2020.0,chevrolet,suburban premier,good,8 cylinders,gas,14863.0,automatic,missing,other,blue
15995,2007.0,jeep,wrangler ulimited x,excellent,6 cylinders,gas,141000.0,automatic,rwd,SUV,black
17450,2016.0,toyota,rav4 xle,excellent,4 cylinders,gas,68000.0,automatic,fwd,SUV,silver
25990,2014.0,chevrolet,silverado 1500 regular,good,8 cylinders,other,82140.0,automatic,4wd,pickup,black
0,2018.0,jeep,renegade trailhawk,good,missing,other,23913.0,automatic,4wd,other,black
14974,2011.0,lexus,rx 450h,missing,6 cylinders,hybrid,123025.0,automatic,4wd,SUV,custom
22730,2003.0,harley-davidson,davidson,excellent,8 cylinders,gas,91833.0,automatic,rwd,missing,black
27500,2016.0,chevrolet,silverado 1500 double cab,missing,8 cylinders,gas,68026.0,automatic,4wd,pickup,black
7495,2008.0,missing,MERCEDES-BENZ* R-CLASS*,missing,missing,gas,136188.0,automatic,missing,other,blue
3499,1997.0,chevrolet,suburban,fair,8 cylinders,gas,241182.0,automatic,4wd,wagon,white
0,2011.0,chevrolet,avalanche,missing,8 cylinders,gas,104255.0,automatic,4wd,truck,black
18990,2008.0,cadillac,escalade,excellent,8 cylinders,gas,104839.0,automatic,rwd,SUV,white
636,2018.0,ford,f-150 xlt pre-owned,missing,6 cylinders,gas,missing,automatic,4wd,missing,missing
0,2019.0,ford,escape,missing,missing,gas,82970.0,automatic,fwd,missing,missing
31990,2016.0,chevrolet,silverado 1500,missing,8 cylinders,missing,107597.0,automatic,4wd,pickup,white
24900,1998.0,ram,van,missing,missing,gas,83785.0,missing,missing,van,missing
27990,2017.0,gmc,acadia limited sport utility,good,6 cylinders,gas,37910.0,other,fwd,other,missing
25990,2017.0,lexus,es 350 sedan 4d,good,6 cylinders,gas,61125.0,other,fwd,sedan,white
2200,2002.0,ford,windstar sel,like new,6 cylinders,gas,211098.0,automatic,fwd,missing,missing
4500,2006.0,mercedes-benz,benz c280 4matic,excellent,6 cylinders,gas,160000.0,automatic,4wd,sedan,red
45999,2020.0,ford,f150 xl 4wd,missing,missing,gas,14548.0,automatic,missing,missing,missing
5000,2012.0,chevrolet,malibu,good,4 cylinders,gas,125000.0,automatic,fwd,sedan,white
0,2016.0,ford,transit 150 cargo,missing,missing,other,183968.0,automatic,rwd,van,white
14995,2009.0,ford,f-150,excellent,missing,gas,165140.0,automatic,4wd,pickup,grey
36990,2016.0,gmc,sierra 2500 hd double cab,good,8 cylinders,gas,23190.0,other,4wd,pickup,black
48500,2007.0,missing,International 4300,missing,missing,diesel,290000.0,automatic,missing,missing,missing
45990,2020.0,bmw,5 series 530e xdrive sedan,good,missing,hybrid,9825.0,automatic,missing,sedan,missing
5395,2008.0,ford,crown victoria police,excellent,8 cylinders,gas,87213.0,automatic,rwd,sedan,black
17995,1990.0,ford,lnt8000,missing,missing,diesel,78019.0,automatic,missing,truck,white
11900,2012.0,chevrolet,traverse,missing,missing,gas,145459.0,automatic,fwd,missing,white
8299,2013.0,dodge,dart limited,good,4 cylinders,gas,62100.0,manual,fwd,sedan,red
25590,2013.0,bmw,x6 xdrive35i sport utility,good,missing,gas,77907.0,automatic,missing,SUV,black
14394,2017.0,ford,escape se,excellent,4 cylinders,gas,77000.0,automatic,missing,SUV,missing
22990,2017.0,infiniti,qx50 sport utility 4d,good,missing,other,21297.0,other,missing,hatchback,black
17741,2015.0,hyundai,azera,missing,6 cylinders,gas,41820.0,automatic,fwd,sedan,black
18000,missing,missing,ai Sonata,missing,4 cylinders,gas,49640.0,automatic,fwd,sedan,white
12988,2004.0,toyota,tacoma 2dr xtracab,missing,4 cylinders,gas,148693.0,manual,rwd,pickup,green
16000,2000.0,ford,f250 super duty,good,8 cylinders,diesel,178000.0,automatic,4wd,truck,orange
18280,2012.0,nissan,armada platinum 4wd,excellent,8 cylinders,gas,86228.0,automatic,4wd,SUV,missing
7400,2011.0,nissan,xterra,missing,missing,gas,175824.0,automatic,missing,missing,missing
99,2007.0,kia,rio,missing,missing,gas,147917.0,automatic,missing,missing,missing
6500,2009.0,nissan,rogue,good,4 cylinders,gas,94237.0,automatic,4wd,SUV,white
15590,2013.0,toyota,prius v two wagon 4d,good,missing,hybrid,91468.0,other,fwd,wagon,silver
